Id,SalePrice
2658,190150.19401292884
2718,278235.65661188134
2414,154572.71347916118
1989,126176.0150475988
625,186684.36242621206
333,114689.8528454138
1327,124308.90449836102
858,153635.8544593437
95,185896.00006604334
1568,178636.83321542674
2482,163765.82875234127
1364,130293.35727359643
2584,173662.39718101124
818,331387.45073447214
2673,161490.91460804
2089,113583.54353417415
1297,176824.11780061093
790,131584.89447937443
2616,218588.14318227055
720,173620.95114767007
222,150619.62010968255
557,137552.18032664087
1148,217848.59214256745
2766,137727.75442748662
534,179006.35991878473
1452,112849.62764650186
630,160244.49016700828
2648,145626.6360136615
125,138367.00623080143
1904,49198.45539032796
1670,123509.44400742008
756,136205.7561246866
717,311047.9090857201
1032,162594.7838185673
852,215761.36340997388
1731,151047.2438053667
2639,148624.3686411161
2071,83368.33481755387
1267,85848.14834520576
1851,211695.0911875972
567,140300.72497648635
2439,191805.0204535478
1898,167945.16433158919
647,159555.42645307656
2256,212398.6610476084
979,93071.37335697576
1444,197126.988697774
2485,131506.706913904
157,116930.13995490383
88,127008.04001057698
2003,124011.04149162903
186,188658.47453467766
1425,274985.1754358653
2695,138333.63225138042
738,111993.08452511684
395,144032.73496957263
1353,167697.71367920132
1878,172692.73686511445
390,159335.554543514
1456,234558.94932696264
1103,353571.12494569574
1387,146348.36115012688
2070,138083.52514052103
1199,169110.14676594423
2479,168905.4190128776
501,343178.0761726664
2362,84426.01627087971
1718,194612.71748217763
2188,62496.58523765873
1483,121570.09070848064
2557,93742.81441967399
437,321144.028208958
2224,215505.07421772883
1628,139204.52494801817
397,130013.42800556895
587,214020.377209613
2182,729408.8683691218
971,138366.902459932
2611,148790.77764201458
1887,84233.95238335666
2399,297262.21643801196
2148,209336.4933858623
304,123820.98664958481
1997,134036.8402066228
2817,148710.23904668473
1431,184333.73893230726
427,445912.3536430199
263,118949.40075308352
598,168548.25000767256
2895,266752.1071128163
687,172136.99305699594
1822,126743.77297088676
2191,133025.0799151898
179,127447.30099946764
1009,176178.88651428334
2010,125706.27780971154
1991,153902.325877698
1411,181312.44218296374
1721,235141.26369147035
1144,185548.32952852032
593,176385.68868229553
575,284818.29211165616
1249,192454.19028671834
1604,129103.89365998728
1064,413036.5040987886
1923,149879.97376979262
1988,78058.58850455075
2325,159810.5641579704
114,231130.85619836242
2700,271036.1062374476
217,186058.93471470778
343,195657.342503992
386,214497.83689419765
2005,111914.42054305287
2908,119907.13585372764
1814,224228.8105221288
2446,475971.28194504604
208,162685.79629066892
1679,134445.1696658648
822,299571.45435168117
6,188769.2090478178
1781,374131.7924156769
2397,246565.1640143736
2340,240002.62122793443
1618,154987.0650519797
2843,203192.16628730067
1061,341031.00157267496
2786,110736.5935878091
1935,120315.52987315059
1341,120164.8281934321
521,285363.19650285365
2136,135621.82009191302
996,181212.92447931363
227,156986.23848766275
135,145860.1863559813
1167,159383.97365530443
294,205040.53243521144
1776,204314.3625234445
540,173092.94449278893
1717,194612.71748217763
2303,118932.0714242635
116,183817.52497845682
127,142805.729111672
1371,135912.7341152118
