Id,SalePrice
2658,190638.2705013379
2718,183067.64201470773
2414,177786.43188558775
1989,110575.53388973066
625,178465.10715349513
333,112131.29791164503
1327,115491.5932224761
858,173832.906696857
95,199425.23152600968
1568,161716.49235850753
2482,157232.58793016884
1364,127492.28639543377
2584,152786.13581775618
818,292416.17420679
2673,171341.58899318002
2089,105465.74838770257
1297,149381.53332660272
790,116403.9645861194
2616,180808.66388150753
720,187857.42998391128
222,167049.0919407333
557,134349.64423394267
1148,198408.91482009087
2766,140648.96208894864
534,198332.69700791052
1452,130535.2222965708
630,112549.81162217312
2648,115493.45901337097
125,147769.8551035414
1904,67634.80993735878
1670,111368.32976671154
756,96568.18753264582
717,242149.01078080217
1032,149350.6826248609
852,216923.995053784
1731,179487.50434484
2639,123518.18094012683
2071,109726.24971669976
1267,89582.86097337923
1851,206454.61011494935
567,152676.50127502304
2439,216638.6369557025
1898,142334.64981338335
647,149137.16749839793
2256,228815.70736400178
979,94232.47265485313
1444,216485.443010754
2485,119837.79539467423
157,134792.99215488016
88,128161.03401179571
2003,109283.1682825438
186,233565.24129297823
1425,282293.1024422895
2695,127318.4235007129
738,110560.67919565117
395,157353.50089248386
1353,159622.19497180393
1878,138696.46597664832
390,152607.63301305939
1456,233692.30982090166
1103,336234.40547181125
1387,103107.06069544773
2070,131059.53070672374
1199,190015.59760891373
2479,171179.62354213255
501,335590.74503167643
2362,99984.53545641957
1718,198500.81769101287
2188,83723.50859469044
1483,133037.84685157886
2557,86588.836617644
437,338556.70975609805
2224,182953.94522215478
1628,156327.6414490458
397,141592.02100627762
587,200260.4604790705
2182,833616.5128989096
971,95417.98132376495
2611,139391.8539304614
1887,106364.63223236689
2399,349204.2226978508
2148,211410.69270488346
304,108716.05290692166
1997,127831.58207240497
2817,115769.33548557526
1431,186441.35120692273
427,399100.65366799437
263,121497.17199004165
598,149157.80778217025
2895,272311.9043869781
687,158360.1992193539
1822,143002.25541092595
2191,114361.04527454445
179,136501.34491463954
1009,194791.8214923294
2010,129260.32214579615
1991,138645.63598398835
1411,161717.4164135108
1721,250679.8491283703
1144,185532.10824805294
593,216057.6174052778
575,318309.7060185724
1249,167010.56766348757
1604,133040.0759117726
1064,528890.5200227017
1923,160306.73568130645
1988,103321.62105809612
2325,165477.41437681735
114,181519.9396108946
2700,186245.72661426367
217,88080.91941417399
343,163940.76092488383
386,238838.53325499152
2005,134995.4187653166
2908,138379.06680004852
1814,217925.05077015812
2446,517173.2896996949
208,159932.3104101938
1679,121275.94422524108
822,344157.55220004433
6,191827.20877292688
1781,429175.3900494041
2397,277360.5269665926
2340,282176.6030368436
1618,179645.7734000766
2843,124053.74843329337
1061,362455.84674659424
2786,136625.19154635162
1935,128188.62621967553
1341,128033.3795406635
521,304121.06378490484
2136,122882.26856035244
996,182618.8330940472
227,139387.37942359765
135,167607.7215595714
1167,153932.3578847843
294,252330.74376792164
1776,205117.32818377588
540,180029.08963274892
1717,198500.81769101287
2303,140812.20993520855
116,174971.550973957
127,128604.15761019435
1371,134305.56723064504
1014,143434.00458444672
1507,79444.21470424169
702,143749.76245199487
750,153298.94361040986
261,168043.98638892674
1559,97511.47297956076
577,239155.0905024638
2812,205757.84714858048
2080,160465.55819358147
1368,126197.13116998627
2376,119784.43687980977
659,101703.27910066355
1235,143394.69237194333
332,92066.4737165542
1917,137603.06286704872
2094,256376.4369370739
1460,295260.1503978308
1471,185486.07238068886
1509,121666.99324494466
1922,139607.99550538283
433,533177.967276819
460,257064.28148132522
1116,246616.1603160827
1137,159121.89735856466
53,177202.4608887643
2354,259697.9279614712
1475,194297.61264260317
1761,611700.7957429916
842,133830.80513501132
2739,180665.29288973456
2509,155991.4554545993
1007,208013.29089694662
2610,185180.20004789688
1952,89481.94246552273
2719,166585.62090740463
2921,104945.30997289676
1966,135372.41787441884
292,89957.69741996442
1204,187239.03249799466
1829,259522.41316720488
2419,187036.8068795834
391,149406.47361750575
798,114226.60977928754
481,186473.22139345872
193,213576.0763758546
555,124946.33584277096
899,45720.3309695599
2357,172017.86389324733
328,129688.52166433237
1356,123490.10497608062
1154,109173.73564218052
1730,169071.0929488687
2249,144938.34445367567
1119,270184.410659412
2856,115671.42997158604
1394,132750.1771898651
2587,115487.08500078594
61,357778.28259113507
2661,179330.80804260337
2711,142764.8195895367
1147,188440.79493278026
757,144806.09228506655
2623,84593.86374804421
2378,151915.37041925237
1413,140881.35912161454
1722,222134.2032804881
